--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot129.jpg	후                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot130.jpg	쿠                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot131.jpg	다                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot132.jpg	                         	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot133.jpg	이                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot134.jpg	와                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot135.jpg	외                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot136.jpg	                         	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot137.jpg	글                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot138.jpg	그                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot139.jpg	행                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot140.jpg	영                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot141.jpg	밉                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot142.jpg	홉                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot143.jpg	책                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot144.jpg	읽                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot145.jpg	는                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot146.jpg	곰                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot147.jpg	                         	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot148.jpg	펴                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot149.jpg	냄                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot150.jpg	그                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot151.jpg	                         	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot152.jpg	든                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot153.jpg	                         	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot154.jpg	쿠                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot155.jpg	어                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot156.jpg	                         	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot157.jpg	공                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot158.jpg	챔                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot159.jpg	을                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot160.jpg	국                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot161.jpg	사                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot162.jpg	런                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot163.jpg	습                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot164.jpg	뭄                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot165.jpg	국                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot166.jpg	점                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot167.jpg	에                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot168.jpg	                         	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot169.jpg	갖                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot170.jpg	다                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot171.jpg	가                        	
/home/kobot-10/Project/onego-modelserver/input/manuscript_contour/slot172.jpg	                         	
